Das Roulette-Spiel beginnt!
Runde 1: 35
Runde 2: 27
Runde 3: 30
Runde 4: 32
Runde 5: 25
Runde 6: 25
Runde 7: 27
Runde 8: 32
Runde 9: 33
Runde 10: 40
Runde 11: 28
Runde 12: 31
Runde 13: 24
Runde 14: 32
Runde 15: 23
Runde 16: 27
Runde 17: 27
Runde 18: 25
Runde 19: 30
Runde 20: 27
Runde 21: 33
Runde 22: 26
Runde 23: 23
Runde 24: 29
Runde 25: 33
Runde 26: 29
Runde 27: 25
Runde 28: 28
Runde 29: 28
Runde 30: 34
Runde 31: 22
Runde 32: 26
Runde 33: 27
Runde 34: 26
Runde 35: 33
Runde 36: 28
Runde 37: 33
Runde 38: 22
Runde 39: 29
Runde 40: 30
Runde 41: 19
Runde 42: 33
Runde 43: 28
Runde 44: 30
Runde 45: 23
Runde 46: 42
Runde 47: 25
Runde 48: 29
Runde 49: 28
Runde 50: 28
