Die Startzahl lautet:666
Array Stelle 0: 333
Array Stelle 1: 1000
Array Stelle 2: 500
Array Stelle 3: 250
Array Stelle 4: 125
Array Stelle 5: 376
Array Stelle 6: 188
Array Stelle 7: 94
Array Stelle 8: 47
Array Stelle 9: 142
Array Stelle 10: 71
Array Stelle 11: 214
Array Stelle 12: 107
Array Stelle 13: 322
Array Stelle 14: 161
Array Stelle 15: 484
Array Stelle 16: 242
Array Stelle 17: 121
Array Stelle 18: 364
Array Stelle 19: 182
Array Stelle 20: 91
Array Stelle 21: 274
Array Stelle 22: 137
Array Stelle 23: 412
Array Stelle 24: 206
Array Stelle 25: 103
Array Stelle 26: 310
Array Stelle 27: 155
Array Stelle 28: 466
Array Stelle 29: 233
Array Stelle 30: 700
Array Stelle 31: 350
Array Stelle 32: 175
Array Stelle 33: 526
Array Stelle 34: 263
Array Stelle 35: 790
Array Stelle 36: 395
Array Stelle 37: 1186
Array Stelle 38: 593
Array Stelle 39: 1780
Array Stelle 40: 890
Array Stelle 41: 445
Array Stelle 42: 1336
Array Stelle 43: 668
Array Stelle 44: 334
Array Stelle 45: 167
Array Stelle 46: 502
Array Stelle 47: 251
Array Stelle 48: 754
Array Stelle 49: 377
Array Stelle 50: 1132
Array Stelle 51: 566
Array Stelle 52: 283
Array Stelle 53: 850
Array Stelle 54: 425
Array Stelle 55: 1276
Array Stelle 56: 638
Array Stelle 57: 319
Array Stelle 58: 958
Array Stelle 59: 479
Array Stelle 60: 1438
Array Stelle 61: 719
Array Stelle 62: 2158
Array Stelle 63: 1079
Array Stelle 64: 3238
Array Stelle 65: 1619
Array Stelle 66: 4858
Array Stelle 67: 2429
Array Stelle 68: 7288
Array Stelle 69: 3644
Array Stelle 70: 1822
Array Stelle 71: 911
Array Stelle 72: 2734
Array Stelle 73: 1367
Array Stelle 74: 4102
Array Stelle 75: 2051
Array Stelle 76: 6154
Array Stelle 77: 3077
Array Stelle 78: 9232
Array Stelle 79: 4616
Array Stelle 80: 2308
Array Stelle 81: 1154
Array Stelle 82: 577
Array Stelle 83: 1732
Array Stelle 84: 866
Array Stelle 85: 433
Array Stelle 86: 1300
Array Stelle 87: 650
Array Stelle 88: 325
Array Stelle 89: 976
Array Stelle 90: 488
Array Stelle 91: 244
Array Stelle 92: 122
Array Stelle 93: 61
Array Stelle 94: 184
Array Stelle 95: 92
Array Stelle 96: 46
Array Stelle 97: 23
Array Stelle 98: 70
Array Stelle 99: 35
Array Stelle 100: -13824
